Track Name,Artist,Genres,Energy,Acousticness,Danceability,Valence,Loudness,Instrumentalness,Speechiness,Liveness,Tempo
Solo,Los Panchos,"bolero,bolero mexicano,ranchera",0.269,0.977,0.696,0.511,-9.719,0.00215,0.0294,0.116,111.236
Tu Me Acostumbraste,Los Panchos,"bolero,bolero mexicano,ranchera",0.546,0.791,0.55,0.684,-6.012,0.00115,0.0293,0.0958,107.489
Tu Recuerdo,Los Panchos,"bolero,bolero mexicano,ranchera",0.461,0.892,0.831,0.61,-9.1,4.06e-05,0.0318,0.165,106.919
Vagabundo,Los Panchos,"bolero,bolero mexicano,ranchera",0.752,0.841,0.756,0.962,-4.721,4.79e-05,0.038,0.0807,83.092
"Once Upon a Dream - From ""Maleficent"" / Pop Version",Lana Del Rey,"art pop,pop",0.268,0.668,0.148,0.145,-16.55,0.0151,0.036,0.113,178.038
Once Upon a Dream - From “Maleficent”/Young Ruffian Remix,Lana Del Rey,"art pop,pop",0.483,0.108,0.423,0.242,-9.297,0.000198,0.0782,0.0953,120.051
Malo,Bebe,"latin alternative,spanish pop",0.812,0.759,0.777,0.727,-6.18,6.88e-05,0.271,0.145,108.159
Bad Romance,Lady Gaga,"art pop,dance pop,pop",0.919,0.00264,0.695,0.717,-3.769,4.1e-05,0.0381,0.062,119.002
Yo Anuncio,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.576,0.163,0.528,0.652,-7.139,1.53e-05,0.031,0.296,123.896
Pijamas,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.891,0.0944,0.627,0.852,-6.436,0.000431,0.0312,0.0936,137.999
Escamas,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.873,0.285,0.683,0.629,-5.862,0.000138,0.0313,0.0848,122.125
Cuello Rojo,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.75,0.0317,0.426,0.802,-6.526,7.19e-06,0.0515,0.265,178.126
Como Eran Las Cosas,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.438,0.465,0.696,0.563,-9.077,3.14e-05,0.032,0.0888,94.991
Microdancing,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.704,0.337,0.696,0.736,-6.32,7.53e-05,0.0395,0.0758,124.998
Las Demás,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.545,0.287,0.578,0.224,-10.588,0.0441,0.03,0.101,127.834
Estoy Rabioso,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.893,9.12e-05,0.28,0.707,-5.313,0.000566,0.0363,0.271,206.196
Nosotros,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.299,0.889,0.248,0.0729,-10.621,5.14e-05,0.0285,0.152,84.46
El ídolo,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.932,0.111,0.58,0.772,-5.297,0.00458,0.038,0.163,112.019
Irresponsables,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.929,0.0629,0.58,0.884,-4.849,0.000223,0.0388,0.23,94.995
Risa,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.71,0.406,0.586,0.384,-6.124,0.000326,0.0308,0.0874,128.362
Estertor,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.692,0.435,0.425,0.494,-6.699,0.0124,0.0322,0.356,155.582
Curtis,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.538,0.835,0.718,0.531,-9.656,0.0349,0.0362,0.136,117.974
Y qué,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.866,0.0591,0.629,0.952,-5.491,0.0558,0.0355,0.109,137.011
La Puntita,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.464,0.421,0.519,0.369,-9.488,0.00556,0.0253,0.113,163.183
Pistero,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.786,0.258,0.656,0.784,-6.427,0.0779,0.0344,0.0799,110.007
Suturno,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.792,0.179,0.716,0.773,-8.774,0.0125,0.0324,0.362,107.023
Mareo,Babasónicos,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.591,0.529,0.34,0.382,-7.431,0.000258,0.0387,0.205,169.119
